Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C26, C27, C28",0805,4,1uF,
"C10, C11, C16, C17, C9",CP_Radial_D5.0mm_P2.00mm,5,22uF,
"C12, C13, C14, C18, C2, C29, C3, C5, C8",CP_Radial_D5.0mm_P2.00mm,9,10uF,
"C15, C19, C30, C7",0805,4,100nF,
"C20, C31, C32, C33, C34, C35",0603,6,100nF,
"C21, C22",0603,2,0.1uF,
C23,0805,1,0.1uF,
"C24, C25",CP_Radial_D4.0mm_P1.50mm,2,2.2uF,
"C36, C37",0805,2,6.8pF,
C4,CP_Radial_D8.0mm_P5.00mm,1,47uF,
C6,CP_Radial_D8.0mm_P5.00mm,1,44uF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
D1,0603,1,LED,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Screw_Terminal_01x02,
"J2, J3, J4, J5, J6, J7, J8",PinHeader_1x03_P2.54mm_Vertical,7,Conn_01x03,
L1,0805,1,1uH,
L2,0805,1,1.5uh,
L3,0805,1,5.6uH,
L4,L0603,1,FCM1608KF-601T03,C141723
"R10, R11, R12, R13, R18, R19, R20, R21, R22, R23, R24, R4, R5, R8, R9",0603,15,10k,
R14,0603,1,100k,
R15,0603,1,22.1k,
"R16, R17",0603,2,4.7 k,
"R2, R3",0603,2,5.1k,
R6,0603,1,30.1k,
R7,0603,1,5.23k,
RR1,0603,1,383,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
U1,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U3,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U4,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
U5,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51430YFDDCR,C5219261
U7,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
